date,Id,content,username,Like_Count,retweet_count,reply_count,followers_Count,month,day,weekday,year
2023-02-04 12:33:44+00:00,1.62185E+18,"@SunSport Those are rival fans yapping #greenwoodOUT cause they know this boy will finish them when he gets back.

What about this confession?👇 https://t.co/gDWJEbb6by",EzraGichana1,0,0,0,0,2,4,5,2023
2023-02-04 12:20:33+00:00,1.62185E+18,I’m selling 2X Epl tickets for @ManUtd vs @CPFC Today at Old Trafford stadium… Chip in to get yours. Can also transfer to membership! #ManUnited #CrystalpalaceFC #Epl #MUNCRY #tickets #ticketsforsale #Ticketmaster #PremierLeague #EFLCup #CrystalPalace #greenwoodOUT,alphowJ,0,0,0,0,2,4,5,2023
2023-02-04 12:16:37+00:00,1.62185E+18,"Stefflon Don - Can t Let You Go (Remix) [feat. Rema &amp; Tiwa Savage]

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,1,0,0,0,2,4,5,2023
2023-02-04 12:03:41+00:00,1.62184E+18,🚨 Mason Greenwood considers a move to China to revive his career if Manchester United decide to sack the 21 year old after their own investigation. 🚨🔴 #greenwoodOUT  #ManchesterUnited  #Transfers,SlowSportsNews0,0,0,0,0,2,4,5,2023
2023-02-04 12:00:18+00:00,1.62184E+18,selling 2X tickets for @ManUtd vs @CPFC at Old Trafford stadium.Can also transfer to membership! Dm if interested #ManUnited #CrystalpalaceFC #Epl #MUNCRY #tickets #ticketsforsale #GGMU #PremierLeague #mufc #CrystalPalace #greenwoodOUT,johnnyRusss,0,0,0,0,2,4,5,2023
2023-02-04 11:55:34+00:00,1.62184E+18,"@ManUtd @DalotDiogo For those rivals fans saying #greenwoodOUT 
We love our star boy, welcome back MG11💫 https://t.co/qJXiInaWkj",EzraGichana1,2,1,0,0,2,4,5,2023
2023-02-04 11:52:12+00:00,1.62184E+18,"Tiwa Savage - 49-99

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,0,0,0,2,4,5,2023
2023-02-04 11:51:16+00:00,1.62184E+18,I gotta feeling Man Utd will terminate Mason Greenwood's contract #MUFC #greenwoodOUT or #GreenwoodIn,rhydoremmy23,0,0,0,0,2,4,5,2023
2023-02-04 11:45:56+00:00,1.62184E+18,"If you saw this video and listened to the voice recording, and you still want Mason Greenwood back in Manchester United, you’re a wicked soul and you don’t care about your sisters, mothers and daughters. Charges dropped doesn’t change the fact that he’s a rapist #greenwoodOUT",Jesurukevwe_E,0,0,1,0,2,4,5,2023
2023-02-04 11:30:08+00:00,1.62183E+18,"These #greenwoodout prats, please keep your hatred opinions out of football it's beginning to look like its personal to you #racism... Yes I'm coloured. #MUFC #greenwoodback for next season❤️❤️",enver_napier,0,0,0,0,2,4,5,2023
2023-02-04 11:09:39+00:00,1.62183E+18,"Wizkid - Ghetto Youth

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
2023-02-04 11:01:36+00:00,1.62183E+18,"@CalebSampson20 Fake account, her account is blue tick verified and doesn’t have underscores, created by a desperate greenwood sympathiser haha 😂 #GlazersOut #GreenwoodOut https://t.co/hfaxTaqjkK",petesunitedPOV,0,0,0,0,2,4,5,2023
2023-02-04 10:58:01+00:00,1.62183E+18,"@PalmerSZNN Nope not real made by one of his cringe sympathisers, you man are that desperate to prove his innocence that you use fake evidence haha 😂 #GlazersOut #GreenwoodOut https://t.co/HVr2ytuckD",petesunitedPOV,1,0,1,0,2,4,5,2023
2023-02-04 10:40:48+00:00,1.62182E+18,"Someone somewhere will pay for the new naira notes today, but not you. Say amen

#Naira #BBTitans #uniben #yahoo #greenwoodOUT #tippingpoint https://t.co/gcwC2VpM41",yellowbelle69,1,0,0,0,2,4,5,2023
2023-02-04 10:28:31+00:00,1.62182E+18,"so that's Two parrisites we need out of our club, #greenwoodOUT #GlazersOut",seanaustin1985,1,0,0,0,2,4,5,2023
2023-02-04 10:09:21+00:00,1.62181E+18,Is Mason Greenwood guilty or not guilty? Did she lie or not lie? Did she pull out and get back with him? Is that Insta lifestyle she likes more important than the truth…possibly. We will never know #greenwoodOUT #greenwood #masongreenwood #mufc,QuestionThis247,0,0,0,0,2,4,5,2023
2023-02-04 10:04:22+00:00,1.62181E+18,"Ladipoe ft. Joeboy - Yoruba Samurai

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,1,0,0,2,4,5,2023
2023-02-04 09:57:22+00:00,1.62181E+18,@iamspinzy Fake account though #greenwoodOUT,scoop9921,0,0,0,0,2,4,5,2023
2023-02-04 09:56:37+00:00,1.62181E+18,@Obident_Dentist As a United fan I absolutely want #greenwoodOUT,scoop9921,0,0,0,0,2,4,5,2023
2023-02-04 09:55:48+00:00,1.62181E+18,@iamjuddah You 100% do not speak for me #greenwoodOUT,scoop9921,0,0,0,0,2,4,5,2023
2023-02-04 09:41:10+00:00,1.62181E+18,ユナイテッドにはクラブの影響力の大きさを鑑みて冷静な対処をしてほしい #greenwoodOUT,utcplus9,0,0,0,0,2,4,5,2023
2023-02-04 09:27:18+00:00,1.6218E+18,"Olamide feat. Omah Lay - Infinity

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,0,0,0,2,4,5,2023
2023-02-04 09:24:48+00:00,1.6218E+18,He’s so underrated better than saka and Anthony a real fan would like this and retweet #greenwoodOUT #mribu https://t.co/qSM8LBnEdV,kkjkruz,3,0,0,0,2,4,5,2023
2023-02-04 09:14:07+00:00,1.6218E+18,"Runtown - Kini Issue (Official)

#Listen live via  https://t.co/H5oJ2oxLCs #UsePayday #NairaRedesign #jagaban #EndSARS #uniben #IPOB #Album5 #Greenwood #PalmPayApp #greenwoodOUT #EndSARS #YvonneGodsWill #KhosiTwala #NewNairaNotes",panachefm,0,0,0,0,2,4,5,2023
