date,Id,content,username,followers_Count
2022-01-30 19:04:49+00:00,1.48786E+18,Honestly this man deserves a Nobel prize.never seen someone speak more facts in my life #Greenwood #goldbridge #greenwoodout https://t.co/B9ylamj3pT,kingnketiah30,28
2023-02-03 10:33:48+00:00,1.62146E+18,"For dis life 😂 fear women.

Moreover,  maybe that girlfriend saw how Rashford, Garnacho are hugging the headlines and she knew if her boyfriend was playing he will be in the mix. Jealousy set in. She has to come out. clean😁

#fearwomen
#Greenwood
#greenwoodOUT https://t.co/ZuZHuhthGC",zukky04,20
2023-02-03 12:05:27+00:00,1.62148E+18,"Our rival club fans disguising themselves as ManU fans to say #greenwoodOUT.

I saw wat you guys are doing ..you are not just ready for Greenwood yet. Is normal to be afraid of a skillful player, but don't disguise it.

Greenwood just like everyone else deserves a second chance. https://t.co/idE8cSUgS3",Obident_Dentist,18
2022-01-30 10:45:02+00:00,1.48774E+18,"Imagine making it to ManUnited team, playing with players like Ronaldo at the age of 20, then f**cking it all up… #greenwoodout",MoSyed110,14
2022-01-30 09:26:17+00:00,1.48772E+18,"Mason Greenwood forcing his ex girlfriend to have sex with him recorded… this is genuinely sickening to hear

#Greenwood #Greenwoodout https://t.co/uVvHQqqedy",LevitesPaul,10
2022-01-30 09:01:03+00:00,1.48771E+18,"This Not Expected From Greenwood 

#Greenwood #greenwoodout #Greenwood https://t.co/zcH3sgdYC0",MosiburPaik,9
2022-01-30 06:40:32+00:00,1.48768E+18,Time to go #NotMyStarboy #GreenwoodOut https://t.co/tEPYPA7Mv2,WcSauce2,9
2023-02-03 17:34:49+00:00,1.62156E+18,"UEFA trying to settle the dispute between Pep Guardiola and Cancelo just for Ziyech to come in 😂😂

#greenwoodOUT #EndSARS Ronaldo Nigerian Army Oyo State Zenith Bank Nedu Almiron Penaldo Manager of the Month Ibadan Opay https://t.co/SQUK9mNXAK",Abassimudim,8
2023-02-03 18:05:41+00:00,1.62157E+18,"Bank security collect correct slap from an angry customer today 😂

#greenwoodOUT #EndSARS Ronaldo Nigerian Army Oyo State Zenith Bank Nedu Almiron Penaldo Manager of the Month Ibadan Opay https://t.co/0fo7nGMAhu",PToplexnice,6
2022-01-30 17:53:09+00:00,1.48785E+18,"He's finishing is so good that he finished his own career💀
#masongreenwood #greenwoodout https://t.co/wIpq0ln7jg",SuyashNaikgaon1,5
